arquivo,mi,rank_mi
spotdl/library/models.py,6.2092,C
spotdl/dbcore/db.py,12.5145,B
spotdl/importer/tasks.py,13.4389,B
spotdl/dbcore/query.py,24.2219,A
spotdl/util/__init__.py,26.3283,A
spotdl/ui/__init__.py,28.4505,A
spotdl/test/helper.py,29.8999,A
spotdl/util/artresizer.py,33.1523,A
spotdl/autotag/distance.py,35.9166,A
spotdl/ui/commands/import_/session.py,38.8221,A
spotdl/autotag/hooks.py,39.9215,A
spotdl/util/bluelet.py,40.6035,A
spotdl/plugins.py,41.9726,A
spotdl/util/functemplate.py,42.1397,A
spotdl/library/migrations.py,42.9184,A
spotdl/ui/commands/import_/display.py,43.5764,A
spotdl/autotag/match.py,44.0104,A
spotdl/dbcore/types.py,47.4996,A
spotdl/util/layout.py,48.9142,A
spotdl/util/pipeline.py,49.5505,A
spotdl/dbcore/pathutils.py,51.8422,A
spotdl/ui/commands/import_/__init__.py,52.6719,A
spotdl/__main__.py,53.3702,A
spotdl/importer/session.py,53.632,A
spotdl/util/lyrics.py,55.9155,A
spotdl/importer/stages.py,56.8681,A
spotdl/metadata_plugins.py,57.958,A
spotdl/dbcore/sort.py,58.3828,A
spotdl/ui/commands/move.py,58.9333,A
spotdl/ui/commands/stats.py,59.6091,A
spotdl/ui/commands/update.py,60.4934,A
spotdl/ui/commands/modify.py,62.5316,A
spotdl/library/library.py,63.4922,A
spotdl/dbcore/queryparse.py,63.9537,A
spotdl/util/color.py,64.313,A
spotdl/util/diff.py,65.8319,A
spotdl/util/extension.py,67.3446,A
spotdl/test/_common.py,69.3904,A
spotdl/ui/commands/config.py,70.6218,A
spotdl/ui/commands/completion.py,70.9463,A
spotdl/util/config.py,71.016,A
spotdl/importer/state.py,71.4757,A
spotdl/ui/commands/help.py,71.5645,A
spotdl/logging.py,72.0235,A
spotdl/library/__init__.py,74.3083,A
spotdl/ui/commands/remove.py,74.9922,A
spotdl/util/units.py,75.0117,A
spotdl/util/deprecation.py,76.2804,A
spotdl/util/hidden.py,77.9247,A
spotdl/util/m3u.py,78.8696,A
spotdl/mediafile.py,79.583,A
spotdl/ui/commands/write.py,82.2695,A
spotdl/ui/commands/utils.py,87.573,A
spotdl/ui/commands/list.py,92.3933,A
spotdl/autotag/__init__.py,98.0557,A
spotdl/context.py,100.0,A
spotdl/exceptions.py,100.0,A
spotdl/__init__.py,100.0,A
spotdl/dbcore/__init__.py,100.0,A
spotdl/importer/__init__.py,100.0,A
spotdl/library/exceptions.py,100.0,A
spotdl/library/fields.py,100.0,A
spotdl/library/queries.py,100.0,A
spotdl/test/__init__.py,100.0,A
spotdl/ui/commands/fields.py,100.0,A
spotdl/ui/commands/version.py,100.0,A
spotdl/ui/commands/__init__.py,100.0,A
spotdl/util/id_extractors.py,100.0,A
spotdl/util/pathformats.py,100.0,A
